iter	MultiClass
0	1.819364742
1	1.713592837
2	1.623688971
3	1.538739249
4	1.465548973
5	1.4059499
6	1.346683433
7	1.29383153
8	1.244794237
9	1.198744694
10	1.155596792
11	1.117959674
12	1.07992728
13	1.040597002
14	1.007462427
15	0.9786281746
16	0.9451773436
17	0.914165251
18	0.888909346
19	0.8624149313
20	0.8404068643
21	0.8199263927
22	0.7949258404
23	0.7740588996
24	0.754587686
25	0.7365513649
26	0.7191558865
27	0.7018549105
28	0.6839177658
29	0.663618155
30	0.6474950312
31	0.6329727884
32	0.6193575088
33	0.6059013764
34	0.5919449345
35	0.5771239504
36	0.5637370489
37	0.5501079487
38	0.5375829277
39	0.5250739893
40	0.5152285947
41	0.5050867435
42	0.4962383495
43	0.4855464866
44	0.4774389846
45	0.4661298561
46	0.4563517825
47	0.4460585641
48	0.4363674369
49	0.4284715848
50	0.4189119003
51	0.411072778
52	0.4027233171
53	0.394500205
54	0.3879987073
55	0.3824586825
56	0.3746408425
57	0.3687447685
58	0.3618382761
59	0.3552286275
60	0.3484853471
61	0.3437586694
62	0.3383215103
63	0.3323142377
64	0.3267961872
65	0.322074312
66	0.3159364738
67	0.3104413842
68	0.3051607584
69	0.2997515659
70	0.2950718996
71	0.2896316547
72	0.2844380197
73	0.2808148595
74	0.2764027484
75	0.2725214083
76	0.2692841537
77	0.2663838465
78	0.2630830904
79	0.2581002698
80	0.2543451771
81	0.2504173955
82	0.2466645265
83	0.2437125016
84	0.2399584667
85	0.2364532246
86	0.2334304188
87	0.2296942057
88	0.2270725095
89	0.2235277628
90	0.2198688642
91	0.2167142049
92	0.2139230863
93	0.2114391112
94	0.2089533509
95	0.2060850143
96	0.2041005264
97	0.2019194256
98	0.1994061218
99	0.1967890961
100	0.1949065476
101	0.1933271686
102	0.190620451
103	0.1889697195
104	0.1876038854
105	0.1854976556
106	0.1831519915
107	0.1814586289
108	0.1790575924
109	0.176934049
110	0.1748944343
111	0.1731205877
112	0.1717381804
113	0.169738835
114	0.1681900383
115	0.166210734
116	0.1645603653
117	0.1630198445
118	0.1608863815
119	0.1597563802
120	0.1580205666
121	0.1570069285
122	0.1556286309
123	0.1541468796
124	0.1531286685
125	0.1518057475
126	0.1503345833
127	0.1491716256
128	0.1474734165
129	0.14579739
130	0.1448461636
131	0.1430358436
132	0.1418993271
133	0.1406723682
134	0.1397231956
135	0.1381127449
136	0.136526844
137	0.1354078317
138	0.1339838797
139	0.1327008338
140	0.1316979398
141	0.1308967041
142	0.1297050741
143	0.1284515079
144	0.1272791953
145	0.1264289552
146	0.1254220673
147	0.1241473587
148	0.1231856402
149	0.1221825297
150	0.121067542
151	0.1198614705
152	0.1189176442
153	0.1184762742
154	0.1174618443
155	0.1166192802
156	0.1155231179
157	0.1147786245
158	0.113474822
159	0.112742843
160	0.112016575
161	0.1110728141
162	0.1101787859
163	0.1094048192
164	0.1086060225
165	0.1079560392
166	0.107467411
167	0.1065440295
168	0.1059648315
169	0.1054064217
170	0.1047864415
171	0.1040834579
172	0.1029941221
173	0.1021544639
174	0.1012998887
175	0.1008708702
176	0.1004003685
177	0.09994300885
178	0.09940279694
179	0.09875679839
180	0.09825263021
181	0.09771118219
182	0.09725199446
183	0.09675753954
184	0.09591270331
185	0.09550436068
186	0.09486394964
187	0.09425182205
188	0.09392848169
189	0.09321806254
190	0.09286369014
191	0.09198115898
192	0.0914625021
193	0.09074082914
194	0.09046690362
195	0.08996508018
196	0.08978204984
197	0.08920588338
198	0.08884122476
199	0.08834382543
200	0.08787965036
201	0.08741432392
202	0.08677243311
203	0.08617622391
204	0.08567087539
205	0.0849444386
206	0.0842909424
207	0.08382225099
208	0.08346152253
209	0.08308523604
210	0.08268575314
211	0.08227514304
212	0.08178720101
213	0.08132421875
214	0.08096819367
215	0.08048349407
216	0.08019920357
217	0.07990160398
218	0.07967622161
219	0.07923130166
220	0.07874690046
221	0.07845475363
222	0.07806071553
223	0.07770995314
224	0.07723639571
225	0.07694252072
226	0.07651061301
227	0.07605106514
228	0.07581718434
229	0.07542125857
230	0.07498932993
231	0.07434430795
232	0.07392244641
233	0.0736931992
234	0.07342900193
235	0.07319466827
236	0.07287059118
237	0.07253714183
238	0.07223969651
239	0.07186636979
240	0.07132614433
241	0.07101167392
242	0.07071493182
243	0.07049807437
244	0.07023810758
245	0.07006174558
246	0.06974980792
247	0.06953453109
248	0.06932545391
249	0.06907262467
250	0.06870146368
251	0.06837846725
252	0.06807613841
253	0.0678949678
254	0.06773089776
255	0.06748813171
256	0.06737067209
257	0.0669322528
258	0.06669839876
259	0.06649763039
260	0.06632633751
261	0.06613294923
262	0.06594441257
263	0.06555016521
264	0.06527199683
265	0.06508368065
266	0.06490086709
267	0.06472321289
268	0.06448645986
269	0.06412862512
270	0.0637301108
271	0.06347275464
272	0.06330234029
273	0.0630636047
274	0.06281530632
275	0.06256190823
276	0.06236738664
277	0.06212362683
278	0.06184325106
279	0.0617116744
280	0.06130280104
281	0.06110937756
282	0.06073704116
283	0.06053947577
284	0.06018916527
285	0.06000233252
286	0.05982856385
287	0.05964995579
288	0.05940447898
289	0.05919176627
290	0.05901026958
291	0.05878476186
292	0.05862969922
293	0.05837564913
294	0.05823375415
295	0.05807937984
296	0.05786257837
297	0.05768828017
298	0.05750366275
299	0.05738370246
300	0.05720489559
301	0.05690455588
302	0.0566520192
303	0.05641534415
304	0.05624935565
305	0.05614030452
306	0.05585110084
307	0.05570440801
308	0.05540240966
309	0.05525880683
310	0.05515925218
311	0.05502537471
312	0.05494244684
313	0.05476023324
314	0.05462999392
315	0.0545358108
316	0.05435989899
317	0.05426265794
318	0.05409284608
319	0.05383631714
320	0.05369848611
321	0.05354564166
322	0.0532692598
323	0.05301635493
324	0.05292299708
325	0.05267757744
326	0.0525616976
327	0.05244904721
328	0.05231630862
329	0.0522267533
330	0.0521154319
331	0.0519914287
332	0.05175239705
333	0.05150628692
334	0.05126633908
335	0.05093099235
336	0.05085845563
337	0.05062424496
338	0.05053871474
339	0.05040491783
340	0.05030740066
341	0.05021987715
342	0.05013696857
343	0.05000181344
344	0.04988254701
345	0.0498289191
346	0.04968254004
347	0.04957009923
348	0.04942184786
349	0.04930561926
350	0.04915909799
351	0.04905216313
352	0.04889102619
353	0.0487489001
354	0.04852351599
355	0.04841403157
356	0.04822302677
357	0.04797811428
358	0.04793061737
359	0.047828753
360	0.04760607291
361	0.04752630245
362	0.0474144211
363	0.04729233327
364	0.04710956691
365	0.04699965633
366	0.04690815638
367	0.04671569324
368	0.04645110239
369	0.04633173012
370	0.04625801877
371	0.04617801045
372	0.04611909439
373	0.04597890266
374	0.04565201109
375	0.04552952407
376	0.04541275488
377	0.04533918249
378	0.04518165267
379	0.04511282524
380	0.04504789699
381	0.04490875026
382	0.0448355531
383	0.04461699554
384	0.04448120126
385	0.04439100281
386	0.04428533562
387	0.0441697774
388	0.04405244203
389	0.04384623591
390	0.04372645865
391	0.04358439832
392	0.04351272536
393	0.04335737301
394	0.04324754697
395	0.04307295637
396	0.04295627604
397	0.04278740552
398	0.04267506662
399	0.04252327811
400	0.04231108873
401	0.04225728431
402	0.04211041051
403	0.04201734076
404	0.04186926409
405	0.04179135218
406	0.04166929119
407	0.04153088491
408	0.04143297282
409	0.04133741404
410	0.04121882027
411	0.04111607271
412	0.04101753751
413	0.0408926651
414	0.04081886362
415	0.04072825752
416	0.04067197193
417	0.04059718077
418	0.0404390662
419	0.04026595647
420	0.04014447109
421	0.04001151598
422	0.03995063871
423	0.0398932126
424	0.03981435713
425	0.03968457993
426	0.03958347189
427	0.03936307386
428	0.03932393881
429	0.03916753605
430	0.03904867525
431	0.03887625773
432	0.03881372194
433	0.038741872
434	0.03866287885
435	0.03847485877
436	0.03835553779
437	0.03830527598
438	0.03822791999
439	0.03810732854
440	0.03798356224
441	0.03788509589
442	0.03781928278
443	0.03772378122
444	0.03765984015
445	0.0375802961
446	0.03741342524
447	0.03727755841
448	0.03723145848
449	0.03720087242
450	0.03712149993
451	0.03704956784
452	0.03697977566
453	0.03687315029
454	0.03685992133
455	0.0367775535
456	0.03666948026
457	0.03656230992
458	0.0364777189
459	0.03641790067
460	0.03637086177
461	0.03626861179
462	0.0361929596
463	0.03618100447
464	0.03610832683
465	0.0360561767
466	0.03598818657
467	0.0359383441
468	0.03587936747
469	0.03570853904
470	0.03569340089
471	0.03564333618
472	0.03548340935
473	0.03540811404
474	0.03536235164
475	0.03522292782
476	0.03515410519
477	0.03507789904
478	0.03500255356
479	0.03489575741
480	0.03479793822
481	0.03468973169
482	0.03462633105
483	0.03446706918
484	0.03435733585
485	0.03429231703
486	0.03425439934
487	0.0341359115
488	0.03405810574
489	0.03393893674
490	0.03392433378
491	0.03387832488
492	0.03381383152
493	0.03370897891
494	0.03360364487
495	0.03355770077
496	0.03351485319
497	0.03342475975
498	0.03331540284
499	0.03328332555
500	0.03324528968
501	0.0331848531
502	0.03310283099
503	0.03304548978
504	0.03298088524
505	0.03296205969
506	0.0328968404
507	0.03284576637
508	0.03279373339
509	0.03273164803
510	0.03269860683
511	0.03263899538
512	0.03257053475
513	0.032519317
514	0.03242528584
515	0.03238427314
516	0.03233015474
517	0.03225947091
518	0.03212356619
519	0.03207089186
520	0.03200758175
521	0.03199192749
522	0.03190153345
523	0.03187578579
524	0.03180445145
525	0.03174755957
526	0.03169708026
527	0.03163344845
528	0.03161130734
529	0.03156088099
530	0.0315259476
531	0.03144964947
532	0.03138547605
533	0.03134162428
534	0.03131703759
535	0.03124469924
536	0.03119820106
537	0.03110707705
538	0.03106031458
539	0.03102836704
540	0.03099567983
541	0.03095108805
542	0.03092569549
543	0.03089153056
544	0.03086618821
545	0.0307765129
546	0.03071726488
547	0.03070376027
548	0.03063338284
549	0.03055086904
550	0.03046816227
551	0.03044751899
552	0.03039486326
553	0.03034431718
554	0.03030987101
555	0.03027800247
556	0.03015043542
557	0.03007782802
558	0.02994644077
559	0.02994408904
560	0.02987878583
561	0.0297858029
562	0.0297254024
563	0.02964058677
564	0.02961184493
565	0.02954951189
566	0.02954184898
567	0.02949531184
568	0.02944649058
569	0.02935707414
570	0.02931156072
571	0.02926799187
572	0.02921106894
573	0.02916496275
574	0.02912933718
575	0.02907783756
576	0.02906892451
577	0.02904494733
578	0.02893236225
579	0.02886514995
580	0.02883850659
581	0.02882267439
582	0.02875527121
583	0.0287278583
584	0.02868438167
585	0.02860634818
586	0.02854238414
587	0.0285334604
588	0.02848637568
589	0.02842086036
590	0.02833333275
591	0.02831500745
592	0.02825383056
593	0.0281731604
594	0.02814290046
595	0.02811887238
596	0.0280999381
597	0.02804352663
