iter	Passed	Remaining
0	431	431125
1	530	264915
2	655	217839
3	801	199555
4	945	188185
5	1104	183017
6	1253	177888
7	1406	174345
8	1557	171475
9	1705	168845
10	1817	163372
11	1949	160479
12	2050	155718
13	2135	150394
14	2216	145572
15	2303	141649
16	2404	139065
17	2509	136906
18	2617	135147
19	2708	132732
20	2823	131645
21	2929	130244
22	3023	128433
23	3115	126698
24	3251	126805
25	3402	127471
26	3560	128316
27	3708	128732
28	3867	129490
29	3992	129093
30	4108	128436
31	4215	127513
32	4330	126882
33	4445	126309
34	4552	125512
35	4643	124348
36	4737	123305
37	4824	122138
38	4929	121472
39	5022	120531
40	5130	119992
41	5247	119699
42	5346	118982
43	5446	118332
44	5551	117820
45	5645	117090
46	5729	116169
47	5807	115190
48	5898	114476
49	5980	113621
50	6064	112842
51	6144	112023
52	6232	111355
53	6349	111236
54	6474	111240
55	6571	110783
56	6684	110585
57	6798	110411
58	6911	110238
59	7006	109767
60	7093	109192
61	7194	108852
62	7287	108382
63	7387	108039
64	7472	107482
65	7558	106966
66	7647	106492
67	7735	106020
68	7836	105735
69	7925	105300
70	8011	104822
71	8102	104429
72	8184	103930
73	8265	103433
74	8355	103049
75	8435	102557
76	8522	102162
77	8600	101662
78	8682	101228
79	8774	100906
80	8861	100545
81	8954	100243
82	9044	99922
83	9131	99575
84	9224	99297
85	9346	99332
86	9475	99443
87	9595	99446
88	9722	99523
89	9848	99576
90	9986	99758
91	10141	100090
92	10297	100431
93	10477	100983
94	10604	101021
95	10752	101251
96	10869	101190
97	10970	100976
98	11080	100839
99	11194	100753
100	11299	100581
101	11414	100495
102	11516	100293
103	11630	100202
104	11761	100251
105	11917	100511
106	12054	100600
107	12186	100647
108	12331	100805
109	12450	100739
110	12557	100569
111	12656	100349
112	12823	100658
113	12971	100811
114	13135	101087
115	13301	101364
116	13456	101555
117	13614	101762
118	13757	101851
119	13885	101830
120	14004	101731
121	14133	101717
122	14282	101837
123	14415	101840
124	14579	102057
125	14711	102043
126	14839	102004
127	14975	102021
128	15121	102100
129	15240	101994
130	15327	101676
131	15410	101332
132	15495	101014
133	15578	100677
134	15685	100500
135	15802	100389
136	15939	100407
137	16062	100334
138	16202	100359
139	16341	100384
140	16502	100538
141	16636	100523
142	16730	100265
143	16815	99957
144	16903	99671
145	16996	99419
146	17082	99122
147	17173	98862
148	17259	98574
149	17357	98358
150	17452	98127
151	17547	97895
152	17660	97769
153	17762	97579
154	17870	97421
155	17973	97239
156	18072	97038
157	18200	96991
158	18312	96863
159	18406	96632
160	18512	96470
161	18643	96438
162	18788	96478
163	18933	96513
164	19082	96570
165	19227	96598
166	19363	96586
167	19456	96354
168	19557	96167
169	19666	96016
170	19833	96152
171	19975	96161
172	20095	96063
173	20190	95848
174	20320	95797
175	20439	95695
176	20559	95594
177	20648	95355
178	20783	95326
179	20901	95216
180	20994	94997
181	21094	94808
182	21189	94601
183	21323	94562
184	21441	94460
185	21545	94292
186	21671	94218
187	21783	94085
188	21907	94007
189	22023	93889
190	22129	93731
191	22236	93578
192	22319	93326
193	22399	93062
194	22499	92881
195	22588	92656
196	22670	92408
197	22754	92165
198	22848	91966
199	22958	91834
200	23073	91718
201	23191	91619
202	23282	91409
203	23359	91148
204	23449	90937
205	23531	90698
206	23622	90495
207	23710	90283
208	23791	90041
